Prenda;Temporada;ColorPrenda;Id
Chaqueta;Invierno;B;63
Blusa;Verano;B;69
Camisa;Invierno;B;73
Falda;Otoño;A;35
Blusa;Verano;B;144
Pantalón;Otoño;C;93
Camisa;Otoño;B;198
Camisa;Primavera;A;165
Chaqueta;Verano;C;169
Chaqueta;Invierno;C;48
Chaqueta;Verano;B;5
Camisa;Primavera;B;19
Falda;Primavera;A;9
Camisa;Otoño;A;7
Camisa;Invierno;B;161
Chaqueta;Verano;B;163
Chaqueta;Otoño;B;173
Camisa;Verano;B;109
Chaqueta;Primavera;A;159
Pantalón;Invierno;B;124
Pantalón;Verano;C;160
Camisa;Primavera;C;13
Pantalón;Invierno;C;153
Blusa;Primavera;B;64
Camisa;Otoño;A;64
Blusa;Otoño;A;8
Blusa;Otoño;B;136
Chaqueta;Verano;C;190
Falda;Invierno;C;66
Chaqueta;Otoño;C;134
Chaqueta;Otoño;C;37
Falda;Invierno;A;131
Chaqueta;Otoño;C;85
Chaqueta;Primavera;A;74
Falda;Otoño;A;57
Chaqueta;Verano;B;125
Camisa;Invierno;B;124
Falda;Primavera;B;40
Camisa;Otoño;B;197
Camisa;Invierno;C;159
Blusa;Otoño;C;193
Blusa;Verano;A;32
Camisa;Verano;A;15
Blusa;Otoño;C;87
Pantalón;Primavera;A;77
Falda;Verano;B;126
Pantalón;Otoño;B;19
Blusa;Primavera;B;69
Camisa;Verano;C;200
Falda;Verano;A;90
Chaqueta;Primavera;C;182
Pantalón;Otoño;C;62
Chaqueta;Primavera;C;165
Chaqueta;Verano;B;29
Falda;Verano;C;166
Camisa;Primavera;B;151
Camisa;Otoño;A;195
Camisa;Invierno;A;145
Pantalón;Invierno;B;24
Chaqueta;Verano;B;111
Camisa;Primavera;B;75
Falda;Otoño;B;132
Pantalón;Otoño;B;6
Blusa;Primavera;B;116
Chaqueta;Primavera;C;89
Blusa;Invierno;B;141
Pantalón;Primavera;C;169
Chaqueta;Verano;B;175
Chaqueta;Verano;C;137
Chaqueta;Primavera;B;71
Pantalón;Verano;C;72
Falda;Primavera;A;167
Falda;Primavera;B;119
Blusa;Primavera;A;34
Camisa;Otoño;A;34
Camisa;Invierno;A;141
Pantalón;Invierno;A;52
Falda;Invierno;C;90
Blusa;Otoño;B;193
Camisa;Primavera;B;4
Camisa;Invierno;B;114
Camisa;Invierno;B;145
Pantalón;Otoño;C;196
Camisa;Verano;B;38
Blusa;Primavera;A;104
Camisa;Invierno;B;90
